Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Run Cadence,Max Run Cadence,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Pool Swimming,2022-04-18 18:59:10,false,"Pool Swimming","1,525","336","00:36:46","141","163","2.9","0","0","2:03","1:26","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","526","41","21","0","--","0:00","84.2","0:00","No","00:11.17.5","12","0.0","--","--","--","--","--","--","--","00:31:21","00:37:16","--","--"
Running,2022-04-13 18:48:32,false,"Phoenix Running","1.53","197","00:16:33","138","153","2.3","152","159","10:51","10:01","45","35","0.97","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","75.2","0:00","No","05:42.86.7","2","0.0","--","--","--","--","--","--","--","00:16:28","00:16:44","1,417","1,449"
Strength Training,2022-04-11 19:23:07,false,"Strength","0.00","279","00:33:03","121","152","2.2","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","98","7","0:00","82.4","0:00","No","33:03.44.2","1","0.0","--","--","--","--","--","--","--","00:21:17","00:33:03","--","--"
Pool Swimming,2022-04-09 18:50:27,false,"Pool Swimming","1,225","278","00:30:13","135","155","2.7","0","0","1:59","1:17","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","508","40","21","0","--","0:00","84.2","0:00","No","00:19.70.8","8","0.0","--","--","--","--","--","--","--","00:24:20","00:30:18","--","--"
Strength Training,2022-04-05 07:47:43,false,"Strength","0.00","371","00:39:56","127","166","2.6","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","43","9","0:00","84.2","0:00","No","39:56.36","1","0.0","--","--","--","--","--","--","--","00:24:05","00:40:05","--","--"
Running,2022-03-25 17:16:48,false,"Phoenix Running","1.64","217","00:18:07","150","162","2.5","152","163","11:02","10:09","49","44","0.96","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","91.4","0:00","No","07:14.68.8","2","0.0","--","--","--","--","--","--","--","00:18:01","00:18:07","1,409","1,441"
Strength Training,2022-03-23 19:14:08,false,"Strength","0.00","330","00:46:27","115","150","2.0","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","234","19","0:00","82.4","0:00","No","46:27.34.5","1","0.0","--","--","--","--","--","--","--","00:28:14","00:46:27","--","--"
Strength Training,2022-03-19 09:17:27,false,"Strength","0.00","383","00:40:21","130","172","2.8","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","200","11","0:00","82.4","0:00","No","40:21.16.6","1","0.0","--","--","--","--","--","--","--","00:25:45","00:40:21","--","--"
Hiking,2022-03-01 10:42:50,false,"Compostela Hiking","3.86","717","02:27:22","99","134","1.0","51","234","38:13","9:45","365","348","0.83","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","86.0","0:00","No","00:04.16.4","2","0.0","--","--","--","--","--","--","--","01:19:08","02:27:22","234","475"
Hiking,2022-02-28 14:09:39,false,"Bahía de Banderas Hiking","4.39","850","02:04:03","123","172","3.3","78","210","28:16","11:53","1,111","1,096","0.74","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","87.8","0:00","No","02:04:02.93.1","1","0.0","--","--","--","--","--","--","--","01:42:55","02:27:22","170","1,215"
Other,2022-02-27 16:17:30,false,"Bahía de Banderas Aa","0.11","66","00:08:58.9","110","121","0.4","11","152","0.7","9.2","55","45","1.80","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","73.4","0:00","No","08:58.94.2","1","0.0","--","--","--","--","--","--","--","00:02:40","00:08:58.9","-10","27"
Running,2022-02-16 18:09:20,false,"Phoenix - Easy Run","3.00","377","00:31:36","139","152","3.0","157","170","10:32","8:36","81","92","0.97","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","66.2","0:00","No","10:22.48.4","3","0.0","--","--","--","--","--","--","--","00:31:31","00:32:08","1,406","1,442"
Running,2022-02-13 17:15:58,false,"Phoenix - Negative Split Run","5.00","624","00:46:59","154","181","4.2","159","177","9:24","6:09","135","135","1.08","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","77.0","0:00","No","04:40.41.2","6","0.0","--","--","--","--","--","--","--","00:46:48","00:47:20","1,372","1,437"
Running,2022-02-11 17:48:56,false,"Phoenix - Cadence Drills","2.00","253","00:18:35","156","180","3.1","164","198","9:17","7:20","45","51","1.05","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","78.8","0:00","No","05:05.30.7","3","0.0","--","--","--","--","--","--","--","00:18:35","00:18:35","1,394","1,434"
Running,2022-02-09 17:53:23,false,"Phoenix - Easy Run","3.00","363","00:29:56","141","159","3.1","154","165","9:58","8:33","64","56","1.05","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","77.0","0:00","No","09:42.05.2","3","0.0","--","--","--","--","--","--","--","00:29:52","00:31:04","1,415","1,441"
Running,2022-02-08 17:10:19,false,"Phoenix - Tired Run","1.45","171","00:13:22","149","172","2.7","154","175","9:13","6:51","34","35","1.13","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","78.8","0:00","No","05:11.62.6","2","0.0","--","--","--","--","--","--","--","00:13:22","00:13:28","1,414","1,445"
Trail Running,2022-02-06 16:43:09,false,"Phoenix - Negative Split Run","4.00","530","00:45:00","143","175","3.5","140","177","11:15","6:25","408","427","1.01","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","71.6","0:00","No","03:38.67.3","5","0.0","--","--","--","--","--","--","--","00:41:28","00:47:42","1,696","2,007"
Running,2022-02-05 17:37:41,false,"Phoenix - Easy Run","2.14","260","00:23:33","134","142","2.5","151","159","11:00","9:53","44","48","0.97","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","71.6","0:00","No","01:33.65.4","3","0.0","--","--","--","--","--","--","--","00:23:26","00:23:40","1,402","1,447"
Running,2022-02-03 17:49:53,false,"Phoenix - Easy Run","3.00","383","00:32:07","146","169","3.1","153","162","10:42","9:24","67","70","0.98","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","62.6","0:00","No","10:05.04.4","3","0.0","--","--","--","--","--","--","--","00:31:55","00:32:07","1,402","1,448"
Running,2022-02-02 17:22:14,false,"Phoenix - Tired Run","1.40","172","00:14:49","135","148","2.3","153","158","10:35","9:57","27","30","1.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","69.8","0:00","No","04:22.18.7","2","0.0","--","--","--","--","--","--","--","00:14:49","00:14:53","1,408","1,436"
Running,2022-01-30 17:22:34,false,"Phoenix - Negative Split Run","5.00","604","00:48:47","150","180","4.0","157","169","9:45","7:49","74","97","1.05","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","73.4","0:00","No","04:34.88.1","6","0.0","--","--","--","--","--","--","--","00:48:45","00:48:47","1,357","1,447"
Running,2022-01-28 18:36:41,false,"Phoenix - Easy Run","2.26","273","00:22:36","138","153","3.0","154","163","9:59","8:54","29","21","1.05","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","66.2","0:00","No","02:33.78.9","3","0.0","--","--","--","--","--","--","--","00:22:20","00:22:43","1,415","1,437"
Running,2022-01-26 08:15:11,false,"Phoenix - Easy Run","3.00","386","00:33:56","147","166","3.0","153","231","11:19","10:14","81","80","0.93","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","64.4","0:00","No","11:06.88.5","3","0.0","--","--","--","--","--","--","--","00:33:49","00:33:56","1,398","1,446"
Running,2022-01-25 17:26:20,false,"Phoenix - Easy Run","1.41","172","00:15:22","134","143","2.3","153","161","10:55","10:20","34","42","0.97","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","71.6","0:00","No","04:30.50","2","0.0","--","--","--","--","--","--","--","00:15:21","00:15:30","1,406","1,442"
Running,2022-01-23 18:17:03,false,"Phoenix - Benchmark Run","1.03","119","00:09:00","141","170","2.7","153","171","8:42","6:38","13","13","1.19","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","73.4","0:00","No","02:00.00","3","0.0","--","--","--","--","--","--","--","00:08:59","00:09:00","1,415","1,430"
Running,2022-01-21 17:49:40,false,"Phoenix Running","3.62","446","00:38:06","152","174","3.6","151","169","10:32","7:35","94","88","1.01","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","69.8","0:00","No","00:06.21.7","6","0.0","--","--","--","--","--","--","--","00:38:02","00:38:43","1,404","1,436"
