Time,Weight,Change,BMI,Body Fat,Skeletal Muscle Mass,Bone Mass,Body Water
" Apr 22, 2021",,,,,,,
7:10 AM,175.7 lbs,0.1 lbs,23.8,22.3 %,74.1 lbs,11.0 lbs,56.7 %
" Apr 21, 2021",,,,,,,
6:34 AM,175.6 lbs,0.7 lbs,23.8,22 %,74.0 lbs,11.0 lbs,57.0 %
" Apr 20, 2021",,,,,,,
7:19 AM,176.3 lbs,1.1 lbs,23.9,22.1 %,74.2 lbs,11.1 lbs,56.9 %
" Apr 19, 2021",,,,,,,
7:46 AM,177.4 lbs,0.9 lbs,24,21.8 %,74.5 lbs,11.2 lbs,57.1 %
" Apr 18, 2021",,,,,,,
10:33 AM,176.5 lbs,0.7 lbs,23.9,21.3 %,74.3 lbs,11.2 lbs,57.4 %
9:47 AM,177.2 lbs,0.8 lbs,24,22.3 %,74.4 lbs,11.1 lbs,56.7 %
7:20 AM,176.4 lbs,0.4 lbs,23.9,22.2 %,74.2 lbs,11.1 lbs,56.8 %
" Apr 17, 2021",,,,,,,
7:16 AM,176.8 lbs,1.5 lbs,23.9,21.9 %,74.3 lbs,11.2 lbs,57.0 %
" Apr 16, 2021",,,,,,,
7:32 AM,175.3 lbs,2.0 lbs,23.7,21.8 %,73.9 lbs,11.0 lbs,57.1 %
" Apr 15, 2021",,,,,,,
6:29 AM,177.3 lbs,0.5 lbs,24,22.3 %,74.4 lbs,11.1 lbs,56.7 %
" Apr 14, 2021",,,,,,,
7:39 PM,176.8 lbs,1.3 lbs,23.9,20.9 %,74.3 lbs,11.4 lbs,57.7 %
6:32 PM,178.1 lbs,0.1 lbs,24.1,20.8 %,74.6 lbs,11.5 lbs,57.8 %
8:03 AM,178.2 lbs,0.8 lbs,24.1,22.4 %,74.7 lbs,11.2 lbs,56.7 %
" Apr 13, 2021",,,,,,,
11:17 PM,177.4 lbs,2.2 lbs,24,21.1 %,74.5 lbs,11.4 lbs,57.6 %
7:07 AM,175.2 lbs,2.1 lbs,23.7,21.9 %,73.9 lbs,11.0 lbs,57.0 %
" Apr 12, 2021",,,,,,,
7:13 AM,177.3 lbs,0.8 lbs,24,22 %,74.5 lbs,11.2 lbs,57.0 %
" Apr 11, 2021",,,,,,,
6:35 PM,178.1 lbs,2.1 lbs,24.2,--,--,--,--
" Apr 10, 2021",,,,,,,
2:41 PM,176.0 lbs,--,23.9,--,--,--,--
