Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Total Reps,Total Sets,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,2020-06-27 09:01:26,false,"Running","2.38","275","00:26:25","136","175","--","--","--","11:05","2:13","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","26:25","0:00","0.0","0:00","No","26:25.01","1","0.0"
Running,2020-06-24 08:44:36,false,"Running","2.30","293","00:26:09","142","181","--","--","--","11:22","1:42","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","26:09","0:00","0.0","0:00","No","26:08.63","1","0.0"
Running,2020-06-03 07:39:40,false,"Running","1.92","212","00:19:47","139","170","--","--","--","10:19","3:13","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","19:47","0:00","0.0","0:00","No","00:00.00","1","0.0"
Cardio,2019-01-10 16:46:13,false,"Cardio","0.00","16,909","24:47:44","80","184","--","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","24:47:44","0:00","0.0","0:00","No","00:00.00","1","0.0"
Cardio,2019-01-10 07:33:19,false,"Cardio","0.00","278","00:22:30","156","183","--","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","22:30","0:00","0.0","0:00","No","00:00.00","1","0.0"
Cardio,2019-01-08 16:13:30,false,"Cardio","0.00","250","00:24:20","139","183","--","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","24:20","0:00","0.0","0:00","No","00:00.00","1","0.0"
Cardio,2019-01-08 07:36:38,false,"Cardio","0.00","203","00:16:36","156","185","--","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","16:36","0:00","0.0","0:00","No","00:00.00","1","0.0"
Cardio,2018-12-04 19:57:58,false,"Cardio","0.00","383","03:08:41","70","109","--","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","3:08:41","0:00","0.0","0:00","No","00:00.00","1","0.0"
Cardio,2018-10-02 16:37:08,false,"Cardio","0.00","280","00:28:32","137","173","--","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","28:32","0:00","0.0","0:00","No","00:00.00","1","0.0"
Cardio,2018-10-02 07:41:49,false,"Cardio","0.00","222","00:18:45","152","178","--","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","18:45","0:00","0.0","0:00","No","00:00.00","1","0.0"
Cardio,2018-10-01 07:38:56,false,"Cardio","0.00","231","00:17:28","164","194","--","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","17:28","0:00","0.0","0:00","No","00:00.00","1","0.0"
Cardio,2018-09-15 17:40:03,false,"Cardio","0.00","3,522","07:05:27","122","184","--","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","7:05:27","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2018-09-14 23:08:38,false,"Running","0.06","371","01:01:33","103","166","--","--","--","--","10:46","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","1:01:33","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2018-08-14 19:49:38,false,"Running","3.61","380","00:32:43","150","174","--","--","--","9:04","1:50","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","32:43","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2018-08-12 09:25:50,false,"Running","3.59","393","00:32:01","156","182","--","--","--","8:56","1:05","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","32:01","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2018-08-05 08:50:41,false,"Running","3.82","919","01:28:14","140","188","--","--","--","23:07","3:23","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","1:28:14","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2018-07-29 09:42:40,false,"Running","3.24","355","00:28:48","156","192","--","--","--","8:54","4:17","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","28:48","0:00","0.0","0:00","No","00:00.00","1","0.0"
Cardio,2018-07-26 17:27:34,false,"Cardio","0.00","125","00:43:04","75","155","--","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","43:04","0:00","0.0","0:00","No","00:00.00","1","0.0"
Other,2018-06-14 13:47:07,false,"Other","0.00","152","00:25:50","102","151","--","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","25:50","0:00","0.0","0:00","No","00:00.00","1","0.0"
Cardio,2018-06-07 17:07:53,false,"Cardio","0.00","553","00:46:35","152","192","--","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","46:35","0:00","0.0","0:00","No","00:00.00","1","0.0"
Cardio,2018-06-05 15:05:26,false,"Cardio","0.00","231","00:19:51","151","183","--","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","19:51","0:00","0.0","0:00","No","00:00.00","1","0.0"
Cardio,2018-06-05 05:37:11,false,"Cardio","0.00","186","00:16:17","149","193","--","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","16:17","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2018-06-03 19:26:01,false,"Running","2.36","249","00:19:46","159","176","--","--","--","8:23","4:52","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","19:46","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2018-04-04 15:23:20,false,"Running","2.35","238","00:20:32","150","179","--","--","--","8:45","2:05","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","20:32","0:00","0.0","0:00","No","00:00.00","1","0.0"
Cardio,2018-01-14 15:19:28,false,"Cardio","0.00","348","00:36:49","132","175","--","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","36:49","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2017-12-19 17:53:34,false,"Running","2.92","272","00:23:41","151","164","--","--","--","8:07","4:36","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","23:41","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2017-12-08 16:40:54,false,"Running","2.71","261","00:21:51","155","171","--","--","--","8:03","3:35","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","21:51","0:00","0.0","0:00","No","00:00.00","1","0.0"
